Tag,Percent
,
html,10
,
head,48
,
body,20.9
,
title,43
,
meta,20.5
,
div,94.1
,
a,72.8
,
script,40.3
,
link,40.5
,
img,35.4
,
span,84.5
,
p,94.2
,
li,79.1
,
ul,78.8
,
style,47.9
,
br,40.9
,
h1,92.6
,
h2,91.9
,
input,35.3
,
form,48.3
,
h3,89.6
,
iframe,46.4
,
nav,45.9
,
strong,44.8
,
footer,44.7
,
header,44.3
,
button,37.4
,
i,34.1
